"","sector","rank","rank_change","profit.margin","num..of.employees","ceo_founder","ceo_woman","age","BS","MBA"
"206","Financials",0.352352352352352,0.602739726027397,0.459588050342208,0.00270415359628791,0,0,0.681159420289855,0,0
"207","Retailing",0.361361361361361,0.626712328767123,0.509067514970043,0.0129089356162347,0,1,0.420289855072464,0,1
"208","Financials",0.363363363363363,0.623287671232877,0.512792341522765,0.00138594121954645,0,0,0.898550724637681,1,0
"209","Energy",0.364364364364364,0.421232876712329,0.469806011083791,0.00119502770291493,0,0,0.521739130434783,0,0
"210","Financials",0.367367367367367,0.578767123287671,0.562038768780587,0.00144730627846373,0,1,0.521739130434783,0,0
"211","Energy",0.37037037037037,0.592465753424658,0.558123458404357,0.00371963168237082,0,0,0.36231884057971,0,0
"212","Energy",0.372372372372372,0.417808219178082,0.461594725353052,0.0010222964259626,0,0,0.521739130434783,0,0
"213","Energy",0.373373373373373,0.578767123287671,0.000540514913407079,0.0157249099865497,0,0,0.536231884057971,0,1
"214","Financials",0.374374374374374,0.729452054794521,0.570807705769241,0.010651610560063,0,0,0.521739130434783,0,0
"215","Financials",0.375375375375375,0.654109589041096,0.530184242701733,0.0026032421660684,0,0,0.521739130434783,0,0
"216","Retailing",0.377377377377377,0.73972602739726,0.502568255086135,0.0121889189249387,0,0,0.521739130434783,0,0
"217","Retailing",0.379379379379379,0.664383561643836,0.531588662280654,0.0108861614519246,0,0,0.521739130434783,0,0
"218","Technology",0.38038038038038,0.636986301369863,0.410865453317245,0.0136134974038035,0,0,0.521739130434783,0,0
"219","Financials",0.382382382382382,0.787671232876712,0.559662440240792,0.0034768987826536,0,0,0.521739130434783,0,0
"220","Technology",0.384384384384384,0.787671232876712,0.497711101575687,0.0174772233356319,0,0,0.521739130434783,0,0
"221","Technology",0.385385385385385,0.578767123287671,0.580953624229933,0.0336139610509153,0,0,0.521739130434783,0,0
"222","Energy",0.386386386386386,0.503424657534247,0.556114133325468,0.0021641410778159,0,0,0.768115942028985,0,0
"223","Financials",0.394394394394394,0.705479452054795,0.63608973620535,0.00815746183206974,0,0,0.521739130434783,0,0
"224","Financials",0.395395395395395,0.674657534246575,0.573159042688153,0.00643151273052239,0,0,0.492753623188406,0,0
"225","Retailing",0.396396396396396,0.595890410958904,0.527534867872798,0.015110804841385,0,0,0.521739130434783,0,0
"226","Health Care",0.398398398398398,0.595890410958904,0.581863317226778,0.00902248188480733,0,0,0.521739130434783,0,0
"227","Financials",0.399399399399399,0.636986301369863,0.656367910802637,0.00234050880270406,0,0,0.521739130434783,0,0
"228","Financials",0.4004004004004,0.705479452054795,0.506988698719034,0.00124366519405677,0,0,0.72463768115942,0,0
"229","Financials",0.401401401401401,0.61986301369863,0.544392117707259,0.00338280569231378,0,0,0.521739130434783,0,0
"230","Technology",0.402402402402402,0.681506849315068,0.560443064279909,0.00770426950806587,0,0,0.565217391304348,1,0
"231","Health Care",0.404404404404404,0.791095890410959,0.667855254441591,0.00365872117944552,1,0,0.666666666666667,0,0
"232","Energy",0.407407407407407,0.582191780821918,0.637910982864357,0.00555876522592115,0,0,0.521739130434783,0,0
"233","Technology",0.408408408408408,0.708904109589041,0.50002984314161,0.00509557267009372,0,0,0.521739130434783,0,0
"234","Health Care",0.409409409409409,0.616438356164384,0.561117918160095,0.0213409492674603,0,0,0.521739130434783,0,0
"235","Financials",0.41041041041041,0.643835616438356,0.636844767045346,0.00772472452770496,0,0,0.521739130434783,0,0
"236","Energy",0.412412412412412,0.318493150684932,0.487608851198868,0.000999568626363611,0,0,0.521739130434783,0,0
"237","Financials",0.413413413413413,0.623287671232877,0.654325902244625,0.00245596602466694,0,0,0.289855072463768,0,0
"238","Energy",0.415415415415415,0.575342465753425,0.587922627186908,0.00339007858818545,0,0,0.347826086956522,0,0
"239","Retailing",0.417417417417417,0.743150684931507,0.550555222700762,0.0140680533957833,0,1,0.521739130434783,0,0
"240","Energy",0.418418418418418,0.219178082191781,0.453574732580911,0.000795018429972695,0,0,0.521739130434783,1,0
"241","Financials",0.419419419419419,0.712328767123288,0.67477628616171,0.00129730280111039,1,0,0.753623188405797,0,0
"242","Energy",0.422422422422422,0.558219178082192,0.509743545625761,0.00579513434175065,0,0,0.782608695652174,0,0
"243","Retailing",0.423423423423423,0.729452054794521,0.529219921855843,0.0213409492674603,0,0,0.521739130434783,0,0
"244","Financials",0.426426426426426,0.821917808219178,0.585023335225951,0.00406782157222736,0,0,0.521739130434783,0,0
"245","Retailing",0.427427427427427,0.674657534246575,0.50337806765841,0.00384054357623745,0,0,0.521739130434783,0,0
"246","Financials",0.428428428428428,0.657534246575342,0.548891535577905,0.0150894407097619,0,0,0.521739130434783,0,0
"247","Health Care",0.431431431431431,0.585616438356164,0.491376984384361,0.00456783316340515,0,0,0.521739130434783,0,0
"248","Financials",0.437437437437437,0.719178082191781,0.673831192829264,0.00787972812097008,0,0,0.521739130434783,0,0
"249","Technology",0.438438438438438,0.726027397260274,0.541196664964208,0.0163408333556823,0,0,0.521739130434783,0,0
"250","Financials",0.439439439439439,0.681506849315068,0.632287707078637,0.00897702628560935,0,0,0.521739130434783,0,0
"251","Energy",0.442442442442442,0.626712328767123,0.55320730989242,0.00382190678056628,0,1,0.434782608695652,0,0
"252","Technology",0.444444444444444,0.763698630136986,0.641133902019736,0.00424964396901928,0,0,0.521739130434783,0,0
"253","Financials",0.445445445445445,0.64041095890411,0.64429941402147,0.00886975107150211,0,0,0.521739130434783,1,0
"254","Financials",0.446446446446446,0.636986301369863,0.734464993677664,0.00251824019556817,0,0,0.521739130434783,0,0
"255","Technology",0.447447447447447,0.678082191780822,0.520323694310335,0.00515875595297891,0,1,0.434782608695652,0,0
"256","Energy",0.448448448448448,0.636986301369863,0.509603232604276,0.00114548109978913,0,0,0.797101449275362,0,0
"257","Technology",0.449449449449449,0.722602739726027,0.528270304597234,0.0118407290350822,0,0,0.449275362318841,0,1
"258","Financials",0.454454454454454,0.636986301369863,0.530598960396226,0.00288597599307984,0,0,0.521739130434783,0,0
"259","Financials",0.456456456456456,0.243150684931507,0.409835054421994,0.000581377113742182,0,0,0.521739130434783,0,0
"260","Financials",0.458458458458458,0.671232876712329,0.685539712440379,0.00269915348037614,1,0,0.63768115942029,0,1
"261","Energy",0.46046046046046,0.636986301369863,0.443768287057861,0.0007836545301732,0,0,0.652173913043478,0,1
"262","Retailing",0.463463463463463,0.232876712328767,0.436909216892565,0.0136134974038035,0,0,0.115942028985507,0,0
"263","Energy",0.464464464464464,0.452054794520548,0.111746377009656,0.00141457824704118,0,0,0.521739130434783,0,0
"264","Technology",0.465465465465465,0.636986301369863,0.510034452196681,0.0110275283654303,0,1,0.521739130434783,0,0
"265","Retailing",0.467467467467467,0.602739726027397,0.497933854329504,0.0137953198005954,0,0,0.782608695652174,0,0
"266","Health Care",0.471471471471471,0.688356164383562,0.647960356844975,0.00479511115939506,0,1,0.449275362318841,1,0
"267","Retailing",0.472472472472472,0.582191780821918,0.414537849340533,0.0149771653797429,0,1,0.521739130434783,0,0
"268","Financials",0.475475475475475,0.688356164383562,0.563147451845935,0.00834610256874137,0,0,0.521739130434783,0,0
"269","Technology",0.477477477477477,0.654109589041096,0.614583544846975,0.00474965556019708,0,0,0.521739130434783,0,0
"270","Retailing",0.47947947947948,0.476027397260274,0.489779848105804,0.00842883175928169,0,0,0.521739130434783,0,0
"271","Energy",0.482482482482482,0.339041095890411,0.361192358150115,0.000592741013541678,0,0,0.811594202898551,0,0
"272","Technology",0.483483483483483,0.636986301369863,0.490330016213996,0.0054314895481668,0,0,0.521739130434783,1,0
"273","Financials",0.485485485485485,0.636986301369863,0.734020337009915,0.00417055122641479,0,0,0.27536231884058,0,0
"274","Technology",0.486486486486487,0.585616438356164,0.639778552822346,0.00743153591287798,0,0,0.478260869565217,0,0
"275","Energy",0.487487487487487,0.568493150684932,0.580739373660389,0.00421464315763684,0,0,0.695652173913043,0,0
"276","Retailing",0.488488488488488,0.657534246575342,0.526886222414273,0.00874974828961944,0,1,0.449275362318841,0,0
"277","Financials",0.48948948948949,0.595890410958904,0.464468908904008,0.00459056096300414,0,0,0.101449275362319,0,0
"278","Retailing",0.491491491491492,0.636986301369863,0.502566192703,0.0032696212503108,0,0,0.521739130434783,0,0
