CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
A. Patrick Beharelle,A. Patrick Beharelle,TrueBlue,901,Business Services,,no,no,,
Thomas E. Jorden,Thomas Jorden,Cimarex Energy,902,Energy,,no,no,,
Douglas S. Merritt,Douglas Merritt,Splunk,903,Technology,,no,no,,
Doug Black,Doug Black,SiteOne Landscape Supply,904,Wholesalers,,no,no,1952,68
Nick L. Stanage,Nick Stanage,Hexcel,905,Aerospace & Defense,,no,no,,
Steven H. Gunby,Steven Gunby,FTI Consulting,906,Business Services,,no,no,,
Brad Weston,Brad Weston,Party City Holdco,907,Retailing,,no,no,,
Gary T. Huffman,Gary Huffman,Ohio National Mutual,908,Financials,,no,no,1965,55
Andy Nemeth,Andy Nemeth,Patrick Industries,909,Materials,,no,no,1980,40
Lip-Bu Tan,Lip-Bu Tan,Cadence Design Systems,910,Technology,,no,no,1959,61
Brian M. Krzanich,Brian Krzanich,CDK Global,911,Technology,,no,no,1960,60
Timothy J. Naughton,Timothy Naughton,AvalonBay Communities,912,Financials,,no,no,,
Brent L. Yeagy,Brent Yeagy,Wabash National,913,Motor Vehicles & Parts,,no,no,,
John G. Murray,John Murray,Service Properties Trust,914,Financials,,no,no,1960,60
,,Maxim Integrated Products,915,Technology,,no,no,,
John P. Barnes,John Barnes,People's United Financial,916,Financials,,no,no,1959,61
Norman D. Schwartz,Norman Schwartz,Bio-Rad Laboratories,917,Technology,,no,no,,
John C. Rademacher,John Rademacher,Option Care Health,918,Health Care,,no,no,,
W. Bradley Southern,W. Bradley Southern,Louisiana-Pacific,919,Materials,,no,no,1943,77
David T. Lougee,David Lougee,TEGNA,920,Media,,no,no,,
Mark E. Jagiela,Mark Jagiela,Teradyne,921,Technology,,no,no,,
Paul A. Lang,Paul Lang,Arch Resources,922,Energy,,no,no,1982,38
Arkadiy Dobkin,Arkadiy Dobkin,EPAM Systems,923,Technology,,yes,no,,
Richard E. Muncrief,Richard Muncrief,WPX Energy,924,Energy,,no,no,,
David J. Stetson,David Stetson,Alpha Metallurgical Resources,925,Energy,,no,no,,
Barry R. Port,Barry Port,Ensign Group,926,Health Care,,no,no,,
D. Bryan Jordan,D. Bryan Jordan,First Horizon National,927,Financials,,no,no,1987,33
Blake W. Krueger,Blake Krueger,Wolverine World Wide,928,Apparel,,no,no,,
