CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Neil A. Schrimsher,Neil Schrimsher,Applied Industrial Technologies,700,Wholesalers,,no,no,,
Jeffrey B Guldner,Jeffrey Guldner,Pinnacle West Capital,701,Energy,,no,no,,
Anant Bhalla,Anant Bhalla,American Equity Investment Life Holding,702,Financials,,no,no,,
William R. McDermott,William McDermott,ServiceNow,703,Technology,,no,no,1961,59
Jack Dorsey,Jack Dorsey,Twitter,704,Technology,,yes,no,1976,44
Stephen P. Mawer,Stephen Mawer,Calumet Specialty Products Partners,705,Energy,,no,no,,
James P. Keane,James Keane,Steelcase,706,Household Products,,no,no,1927,93
Joe F. Sanderson Jr.,Joe Sanderson Jr.,Sanderson Farms,707,"Food, Beverages & Tobacco",,no,no,,
Jon Morrison,Jon Morrison,WABCO Holdings,708,Motor Vehicles & Parts,,no,no,,
Alan S. McKim,Alan McKim,Clean Harbors,709,Business Services,,yes,no,,
Mary E. Kipp,Mary Kipp,Puget Energy,710,Energy,,no,yes,,
Barry L. Cottle,Barry Cottle,Scientific Games,711,"Hotels, Restaurants & Leisure",,no,no,1962,58
Kyle T. Larkin,Kyle Larkin,Granite Construction,712,Engineering & Construction,,no,no,,
Kewsong Lee,Kewsong Lee,Carlyle Group,713,Financials,,no,no,,
Liam K. Griffin,Liam Griffin,Skyworks Solutions,714,Technology,,no,no,,
Sean M. Stack,Sean Stack,Aleris,715,Materials,,no,no,1953,67
Roberto Garcia-Rodriguez,Roberto Garcia-Rodriguez,Triple-S Management,716,Health Care,,no,no,1995,25
Craig Rogerson,Craig Rogerson,Hexion,717,Chemicals,,no,no,1965,55
Stephen P. MacMillan,Stephen MacMillan,Hologic,718,Health Care,,no,no,,
Daniel J. Crowley,Daniel Crowley,Triumph Group,719,Aerospace & Defense,,no,no,1998,22
Randall C. Stuewe,Randall Stuewe,Darling Ingredients,720,"Food, Beverages & Tobacco",,no,no,,
Erik Gershwind,Erik Gershwind,MSC Industrial Direct,721,Wholesalers,,no,no,,
Paul J. Cormier,Paul Cormier,Red Hat,722,Technology,,no,no,1969,51
Aart J. de Geus,Aart de Geus,Synopsys,723,Technology,,yes,no,1954,66
Robert M. Patterson,Robert Patterson,PolyOne,724,Chemicals,,no,no,,
Steven E. Nielsen,Steven Nielsen,Dycom Industries,725,Engineering & Construction,,no,no,,
Sean D. Keohane,Sean Keohane,Cabot,726,Chemicals,,no,no,,
Hamid R. Moghadam,Hamid Moghadam,Prologis,727,Financials,,no,no,1956,64
Keith E. Smith,Keith Smith,Boyd Gaming,728,"Hotels, Restaurants & Leisure",,no,no,,
Suzanne Bettman,Suzanne Bettman,LSC Communications,729,Media,,no,no,,
Lawson E. Whiting,Lawson Whiting,Brown-Forman,730,"Food, Beverages & Tobacco",,no,no,,
Cindy J. Miller,Cindy Miller,Stericycle,731,Business Services,,no,yes,1954,66
Ellen R. Alemany,Ellen Alemany,CIT Group,732,Financials,,no,yes,,
David M. Mandarich,David Mandarich,MDC Holdings,733,Engineering & Construction,,no,no,,
Alfred M. Rankin Jr.,Alfred Rankin Jr.,Hyster-Yale Materials Handling,734,Industrials,,no,no,,
Max H. Mitchell,Max Mitchell,Crane,735,Industrials,,no,no,1994,26
Mark Zoradi,Mark Zoradi,Cinemark Holdings,736,Media,,no,no,,
Andrew Anagnost,Andrew Anagnost,Autodesk,737,Technology,,no,no,,
Robert G. Painter,Robert Painter,Trimble,738,Technology,,no,no,,
Olivier Rabiller,Olivier Rabiller,Garrett Motion,739,Motor Vehicles & Parts,,no,no,,
Harris H. Simmons,Harris Simmons,Zions Bancorp.,740,Financials,,no,no,,
Louis V. Pinkham,Louis Pinkham,Regal Beloit,741,Industrials,,no,no,1919,101
Thomas L. Ryan,Thomas Ryan,Service Corp. International,742,Business Services,,no,no,,
Dow R. Wilson,Dow Wilson,Varian Medical Systems,743,Health Care,,no,no,,
Sherry S. Bahrambeygui,Sherry Bahrambeygui,PriceSmart,744,Retailing,,no,yes,,
Wyman T. Roberts,Wyman Roberts,Brinker International,745,"Hotels, Restaurants & Leisure",,no,no,1987,33
A. William Stein,A. William Stein,Digital Realty Trust,746,Financials,,no,no,,
