sector,rank,rank_change,profit margin,num. of employees,ceo_founder,ceo_woman,age,BS,MBA
Retailing,330,-4,0.05014934596765887,53000,0,0,57.0,0,0
Technology,331,-44,0.22700339769619624,10700,0,0,57.0,0,0
Health Care,332,-15,-0.006466321243523316,15400,0,0,57.0,0,0
Financials,333,0,-0.18069023042435617,10100,0,0,57.0,0,0
"Food, Beverages & Tobacco",334,52,0.07111255556487461,18000,0,0,78.0,0,0
Financials,335,106,0.18795532321387332,18600,0,0,57.0,0,0
Financials,336,20,0.11463363426411925,49000,0,1,57.0,0,1
"Food, Beverages & Tobacco",337,-9,0.1030608699314542,18800,0,0,57.0,1,0
"Hotels, Restaurants & Leisure",338,7,0.09320778671180703,173000,0,0,57.0,0,0
Wholesalers,339,14,-0.010610135750439443,10300,0,0,57.0,0,0
Business Services,340,39,0.12554806972516308,19100,0,0,57.0,0,0
Energy,341,-8,0.08125537403267412,2323,0,0,57.0,0,0
Energy,342,-35,0.03340431481361984,3707,0,0,52.0,0,0
Chemicals,343,-30,0.08185053380782918,14500,0,0,57.0,0,0
Engineering & Construction,344,31,0.035434787347677285,36000,0,0,57.0,0,0
Retailing,345,-7,0.03292629742695159,25600,0,0,57.0,0,0
Transportation,346,8,0.05633203495793918,29056,0,0,65.0,0,0
Technology,347,-29,0.14794969928922908,27000,0,0,57.0,0,0
Retailing,348,98,-0.10787654348040451,16985,1,0,57.0,0,0
Financials,349,0,0.21983925967347567,1384,0,0,76.0,0,1
Industrials,350,-15,0.01384741301125932,20961,0,0,57.0,0,0
Financials,351,86,0.09488203347085955,10786,0,0,63.0,0,0
Financials,352,-186,-0.1221085409252669,28033,0,0,57.0,0,0
Financials,353,-10,-0.03925296354283158,6000,0,0,68.0,0,0
Transportation,354,9,-0.0027336485245020056,39900,0,0,23.0,0,0
Chemicals,355,-11,0.19733375192007985,17570,0,0,57.0,0,0
Chemicals,356,-31,-0.11984774822316789,12600,0,0,48.0,0,0
Aerospace & Defense,357,14,0.06169232498033487,42000,0,0,61.0,0,0
Materials,358,31,0.0455057445370579,48000,0,0,57.0,0,0
Wholesalers,359,5,0.029720991227276835,9400,0,0,57.0,0,0
Transportation,360,8,0.0875754469878146,24134,0,0,60.0,0,0
"Hotels, Restaurants & Leisure",361,1,0.08124430264357338,450000,0,1,49.0,0,1
Retailing,362,-3,0.03399728021758259,28450,0,1,50.0,0,1
"Hotels, Restaurants & Leisure",363,2,-0.13669640814458933,64000,0,0,57.0,0,0
Financials,364,-4,0.03951157700725723,3100,0,0,83.0,1,0
Energy,365,-63,-0.02412612010010264,2680,0,0,57.0,0,0
Household Products,366,-32,-0.4375556454876568,19000,0,1,57.0,0,0
Motor Vehicles & Parts,367,6,0.026218097447795824,36300,0,0,54.0,0,1
Financials,368,-17,0.1124168282685184,3235,0,1,57.0,0,0
Motor Vehicles & Parts,369,-48,0.05399176376994712,61957,0,0,57.0,0,0
Wholesalers,370,7,0.0006677522521994822,13800,0,0,57.0,0,0
Energy,371,-13,0.1066205359760746,8234,0,0,46.0,0,0
"Hotels, Restaurants & Leisure",372,4,0.08382684715172024,184514,0,0,57.0,0,0
Energy,373,-64,-0.03628224761456002,2300,0,0,57.0,0,0
Energy,374,-17,-0.718834768250973,34645,0,0,58.0,0,1
Financials,375,27,0.12539851222104145,23484,0,0,57.0,0,0
Financials,376,5,0.06525884429073942,5778,0,0,57.0,0,0
Industrials,377,18,0.06912431400620377,15400,0,0,23.0,0,0
Retailing,378,30,0.024375664981051776,26866,0,0,57.0,0,0
Wholesalers,379,-9,0.02672600461783249,9500,0,0,57.0,0,0
Retailing,380,8,0.06733797100061063,24000,0,0,57.0,0,0
Technology,381,0,-0.11138272758864483,30000,0,0,57.0,0,0
Chemicals,382,-106,0.06736993526732199,10000,0,0,57.0,0,0
Financials,383,44,0.10889887094816074,7700,0,0,57.0,0,0
Household Products,384,-18,0.1135397692774742,22000,0,0,57.0,0,0
Technology,385,44,0.017185052040952647,38500,0,0,57.0,0,0
Technology,386,-17,0.14041870304179738,74000,0,0,57.0,0,0
Energy,387,-39,0.10364589684184855,4812,0,0,74.0,0,0
Industrials,388,0,0.03984146341463415,27500,0,0,29.0,0,0
Transportation,389,-15,0.07221664994984955,18000,0,0,57.0,0,0
"Food, Beverages & Tobacco",390,0,0.002239847249761328,2284,0,0,57.0,0,0
Chemicals,391,-39,0.051860064055186006,9430,0,0,73.0,0,0
"Food, Beverages & Tobacco",392,11,0.4233489403647117,9800,0,0,57.0,0,0
Telecommunications,393,-38,-0.7291229801406193,18317,0,0,57.0,0,0
Transportation,394,5,0.07029898690387942,19032,0,0,75.0,0,0
Financials,395,20,0.2220431440614927,17997,0,0,57.0,0,0
Financials,396,11,0.12887947151938178,14200,0,0,55.0,0,0
Retailing,397,-12,0.061336664584634604,33294,0,0,57.0,0,0
"Food, Beverages & Tobacco",398,-7,0.1439590298385986,15330,0,1,57.0,0,1
Health Care,399,-12,0.14176542807747236,19900,0,0,57.0,0,0
Financials,400,0,0.252063299765276,5200,0,0,57.0,0,0
